Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken
DecisionTreeClassifier,0.59,0.3975832310001365,0.6716598808151337,0.046422719955444336
RidgeClassifierCV,0.65,0.34068085686996863,0.7153663922759919,0.03564858436584473
RidgeClassifier,0.615,0.32181061536362393,0.6996390059535753,0.02587127685546875
LabelPropagation,0.5125,0.3195865738845681,0.6225175469366536,0.05639958381652832
LabelSpreading,0.51,0.3193000409332787,0.6203826103070076,0.0915219783782959
SVC,0.7225,0.3067062355027971,0.7652528211321965,0.07680773735046387
BaggingClassifier,0.6625,0.2772769136307818,0.728005950949685,0.18703794479370117
SGDClassifier,0.385,0.2761154318460909,0.5104982168587844,0.06806349754333496
ExtraTreesClassifier,0.7,0.268501841997544,0.7612833291973421,0.36222147941589355
RandomForestClassifier,0.6875,0.2610946240960567,0.7493483216582277,0.3821382522583008
ExtraTreeClassifier,0.53,0.2269716195933961,0.6362137991095524,0.0391850471496582
LinearDiscriminantAnalysis,0.535,0.2251415609223632,0.6375613961902187,0.032190799713134766
LinearSVC,0.6125,0.22507333879110383,0.6946569984576311,0.13260960578918457
PassiveAggressiveClassifier,0.4625,0.22040353390639922,0.5865309808863685,0.055501461029052734
LogisticRegression,0.6075,0.21676217765042977,0.687818706870687,0.0945749282836914
CalibratedClassifierCV,0.675,0.214974757811434,0.7347547834929723,1.3515872955322266
KNeighborsClassifier,0.5325,0.21321462682494202,0.6399629902261481,0.02394843101501465
Perceptron,0.5125,0.20496998226224586,0.6250506386515788,0.034674644470214844
AdaBoostClassifier,0.59,0.17452244508118436,0.6737735550872967,0.3477625846862793
GaussianNB,0.1875,0.12481921135216265,0.29319707255009225,0.023363828659057617
QuadraticDiscriminantAnalysis,0.66,0.10602401419020331,0.7114056027820712,0.03429579734802246
DummyClassifier,0.8725,0.1,0.813090787716956,0.039704084396362305
NearestCentroid,0.04,0.09539159503342884,0.06531426070783873,0.027548789978027344
BernoulliNB,0.2925,0.0582378223495702,0.4304492600422833,0.04023265838623047
