Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken
SVC,0.6975,0.3039012003693444,0.754049669112358,0.04511451721191406
AdaBoostClassifier,0.4675,0.29701301699224136,0.5954753214758935,0.27802610397338867
NuSVC,0.7,0.262927054478301,0.758188571232689,0.05516457557678223
ExtraTreesClassifier,0.64,0.23058048830209496,0.7270567006990248,0.32697606086730957
RandomForestClassifier,0.6325,0.22095939609790025,0.7222204358576275,0.31192660331726074
BaggingClassifier,0.645,0.2116733220611337,0.7325820864931338,0.15144801139831543
RidgeClassifierCV,0.66,0.20223555299732585,0.7414443319838057,0.09217500686645508
DecisionTreeClassifier,0.5475,0.20060423187154486,0.6552474132296295,0.05566596984863281
LinearDiscriminantAnalysis,0.5775,0.19080896019954194,0.6830375227229989,0.0556485652923584
RidgeClassifier,0.6275,0.1891518569150148,0.7214507581982122,0.024814605712890625
NearestCentroid,0.0575,0.1852589008406183,0.07147970520012675,0.026755809783935547
LabelPropagation,0.5075,0.17899263709513014,0.6329583891241973,0.049643754959106445
LabelSpreading,0.5075,0.17899263709513014,0.6329583891241973,0.055596351623535156
PassiveAggressiveClassifier,0.5925,0.17603593313427107,0.6939732735214196,0.03387761116027832
LinearSVC,0.575,0.17329807773021066,0.6842370926355952,0.10027217864990234
ExtraTreeClassifier,0.505,0.1480293137149093,0.6231077552133024,0.0335693359375
CalibratedClassifierCV,0.6925,0.14581684474343753,0.7582387159263873,0.627720832824707
Perceptron,0.4925,0.14386294684078615,0.613009202391726,0.025379419326782227
LogisticRegression,0.5975,0.14367632598242014,0.6987181359921983,0.09514975547790527
SGDClassifier,0.5725,0.14021372210430383,0.6803222875524075,0.043935298919677734
GaussianNB,0.03,0.1388525140602703,0.027124828445611995,0.032122135162353516
DummyClassifier,0.9025,0.125,0.8562483574244415,0.031301021575927734
KNeighborsClassifier,0.4975,0.11022622345337027,0.6230994120209059,0.03464484214782715
QuadraticDiscriminantAnalysis,0.7875,0.10907202216066482,0.798560393258427,0.028318166732788086
BernoulliNB,0.0375,0.09489670647911645,0.04405055871540597,0.027844667434692383
