Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken
ExtraTreesClassifier,0.7575,0.36609780439121753,0.7964784167710438,0.22184133529663086
RidgeClassifier,0.6775,0.36027944111776444,0.7232370993128096,0.026772260665893555
RandomForestClassifier,0.75,0.3518662674650698,0.7896454795634361,0.378126859664917
ExtraTreeClassifier,0.615,0.34873253493013967,0.6999103686429444,0.024968862533569336
LabelPropagation,0.585,0.3221706586826348,0.674412030316247,0.047989845275878906
LabelSpreading,0.585,0.3221706586826348,0.6744596493638659,0.06141781806945801
DecisionTreeClassifier,0.6575,0.3163872255489022,0.7281280442309854,0.04284358024597168
LinearSVC,0.69,0.3114121756487026,0.7441931309810067,0.11786413192749023
BaggingClassifier,0.7075,0.29714071856287416,0.7625044095394604,0.12087655067443848
PassiveAggressiveClassifier,0.625,0.29292415169660674,0.6861761395019187,0.06894207000732422
SVC,0.7675,0.29022455089820354,0.7775851764859398,0.07100605964660645
KNeighborsClassifier,0.52,0.272250499001996,0.6237494981227745,0.022196292877197266
LogisticRegression,0.6775,0.2639121756487026,0.7311670694107691,0.0839693546295166
SGDClassifier,0.705,0.24333832335329345,0.7344598335966598,0.05667471885681152
BernoulliNB,0.325,0.2418263473053892,0.4560541394888668,0.02109360694885254
NearestCentroid,0.0825,0.24051896207584827,0.12802215707941966,0.02844071388244629
LinearDiscriminantAnalysis,0.5775,0.24026946107784433,0.660454825022539,0.03531217575073242
RidgeClassifierCV,0.6975,0.2375049900199601,0.7239257770415858,0.034510135650634766
Perceptron,0.62,0.2309580838323353,0.6949084787761258,0.03383660316467285
CalibratedClassifierCV,0.7175,0.22126746506986028,0.7423391994478952,0.5182113647460938
QuadraticDiscriminantAnalysis,0.6525,0.1523502994011976,0.6854363589166738,0.03533220291137695
AdaBoostClassifier,0.7125,0.13936626746506986,0.7505038600570799,0.21982431411743164
GaussianNB,0.05,0.10889221556886228,0.07026952907667852,0.020656347274780273
DummyClassifier,0.835,0.1,0.7599182561307901,0.0277249813079834
